분야,연도,수상자,연구 업적,내용
물리학,1901,빌헬름 콘라트 뢴트겐,X선의 발견," <h1>우리가 병원에서 흔히 접하는 X선, 즉 엑스레이를 처음 발견한 과학자, 빌헬름 콘라트 뢴트겐</h1>
     <img src=""https://tse1.mm.bing.net/th?id=OIP.-nYTooiHmbxF1faLGIrf5wHaLG&w=474&h=474&c=7"" alt=""노벨 물리학상 메달"" width=""300"">
    <img src=""https://tse4.mm.bing.net/th?id=OIP.2u96C0FLwZjsB-ZKpnPNmgHaJq&w=474&h=474&c=7"" alt=""X선으로 촬영한 손 사진"" width=""300"">
    <img src=""https://tse1.mm.bing.net/th?id=OIP.fyDdJbM6fyjynxjT83YpsAHaE8&w=316&h=316&c=7"" alt=""X선 발견 실험 장면"" width=""300"">
    <img src=""https://tse2.mm.bing.net/th?id=OIP.Odtfn_NC5txu80cF0EQJpwHaJU&w=474&h=474&c=7"" alt=""빌헬름 콘라트 뢴트겐의 사진"" width=""300"">

    <h2>뢴트겐은 누구일까요?</h2>
    <p>뢴트겐은 1845년 독일에서 태어난 물리학자예요. 어릴 때부터 과학에 관심이 많았고, 열심히 공부해서 대학에서 물리학을 가르치는 교수님이 되었답니다.</p>

    <h2>X선은 어떻게 발견했을까요?</h2>
    <p>1895년, 뢴트겐은 실험을 하던 중 우연히 새로운 빛을 발견했어요. 이 빛은 우리가 눈으로 볼 수 없지만, 종이나 피부 같은 얇은 물질을 통과할 수 있었죠. 뢴트겐은 이 빛을 'X선'이라고 이름 지었어요.</p>

    <h2>X선은 어디에 사용될까요?</h2>
    <p>뢴트겐은 아내의 손을 X선으로 찍어 보았어요. 그 결과, 뼈와 반지의 모습이 사진에 나타났죠. 이렇게 X선은 몸속을 들여다볼 수 있게 해주어, 의사 선생님들이 뼈가 부러졌는지 확인하거나, 몸속의 이상을 찾아내는 데 큰 도움을 주고 있어요.</p>

    <h2>뢴트겐의 업적</h2>
    <p>뢴트겐은 X선을 발견한 공로로 1901년 첫 번째 노벨 물리학상을 받았어요. 그의 발견 덕분에 우리는 병원에서 엑스레이를 찍어 건강을 지킬 수 있게 되었답니다.</p>

    <h2>마무리</h2>
    <p>뢴트겐의 호기심과 노력 덕분에 우리는 몸속을 들여다볼 수 있는 X선을 사용할 수 있게 되었어요. 여러분도 주변의 사소한 것들에 호기심을 가지고 탐구해 보면, 언젠가 큰 발견을 할 수 있을지도 몰라요!</p>"
물리학,1902,헨드릭 로런츠 / 피터르 제이만,"빛에 대한 자장의 영향, 제이만 효과","<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
    <title>헨드릭 로런츠와 피터르 제이만의 제이만 효과 연구</title>
</head>
<body>
    <h1>1902년 노벨 물리학상을 수상한 헨드릭 로런츠와 피터르 제이만</h1>
    <img src=""https://upload.wikimedia.org/wikipedia/commons/8/8e/Hendrik_Antoon_Lorentz.jpg"" alt=""헨드릭 로런츠의 사진"" width=""300"">
    <img src=""https://upload.wikimedia.org/wikipedia/commons/4/4e/Pieter_Zeeman.jpg"" alt=""피터르 제이만의 사진"" width=""300"">
    <img src=""https://upload.wikimedia.org/wikipedia/commons/3/3e/Zeeman_effect.svg"" alt=""제이만 효과의 스펙트럼 변화"" width=""300"">


    <h2>헨드릭 로런츠는 누구일까요?</h2>
    <p>헨드릭 로런츠는 1853년 네덜란드에서 태어난 이론 물리학자입니다. 전자 이론의 선구자로서, 전자기학과 광학 분야에서 중요한 기여를 했습니다.</p>

    <h2>피터르 제이만은 누구일까요?</h2>
    <p>피터르 제이만은 1865년 네덜란드에서 태어난 물리학자입니다. 강한 자기장 속에서 스펙트럼 선이 분리되는 현상인 '제이만 효과'를 발견하였습니다.</p>

    <h2>제이만 효과는 무엇인가요?</h2>
    <p>제이만 효과는 자기장 안에서 빛의 스펙트럼 선이 여러 개로 갈라지는 현상입니다. 이는 원자나 분자의 에너지 준위가 자기장에 의해 분리되면서 발생합니다.</p>
    <h2>로런츠와 제이만의 업적</h2>
    <p>로런츠는 제이만 효과를 이론적으로 설명하여, 빛을 내는 입자가 전자임을 밝혀냈습니다. 이로 인해 두 사람은 1902년 노벨 물리학상을 공동 수상하였습니다.</p>

    <h2>마무리</h2>
    <p>로런츠와 제이만의 연구는 전자기학과 양자역학의 발전에 큰 기여를 하였습니다. 그들의 호기심과 노력은 현대 물리학의 기초를 다지는 데 중요한 역할을 했습니다.</p>
</body>
</html>
"
물리학,1903,앙리 베크렐 / 피에르 퀴리 / 마리 퀴리,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
    <title>앙리 베크렐과 퀴리 부부의 방사능 연구</title>
</head>
<body>
    <h1>1903년 노벨 물리학상을 수상한 앙리 베크렐과 퀴리 부부</h1>
    <img src=""https://upload.wikimedia.org/wikipedia/commons/4/4e/Henri_Becquerel.jpg"" alt=""앙리 베크렐의 사진"" width=""300"">
    <img src=""https://upload.wikimedia.org/wikipedia/commons/0/0e/Pierre_Curie_by_Dujardin_c1906.jpg"" alt=""피에르 퀴리의 사진"" width=""300"">
    <img src=""https://upload.wikimedia.org/wikipedia/commons/6/6d/Marie_Curie_c1920.jpg"" alt=""마리 퀴리의 사진"" width=""300"">

    <h2>앙리 베크렐은 누구일까요?</h2>
    <p>앙리 베크렐은 1852년 프랑스에서 태어난 물리학자입니다. 1896년 우라늄 염이 스스로 빛을 방출하는 현상을 발견하여 방사능의 존재를 처음으로 밝혀냈습니다.</p>

    <h2>피에르 퀴리는 누구일까요?</h2>
    <p>피에르 퀴리는 1859년 프랑스에서 태어난 물리학자입니다. 결정학과 자기학 분야에서 중요한 연구를 수행하였으며, 아내 마리 퀴리와 함께 방사능 연구에 매진하였습니다.</p>

    <h2>마리 퀴리는 누구일까요?</h2>
    <p>마리 퀴리는 1867년 폴란드에서 태어난 과학자입니다. 남편 피에르 퀴리와 함께 폴로늄과 라듐을 발견하였으며, 방사능 연구의 선구자로 알려져 있습니다.</p>

    <h2>방사능 연구는 무엇인가요?</h2>
    <p>방사능 연구는 원소가 스스로 에너지를 방출하는 현상을 연구하는 분야입니다. 베크렐의 발견 이후, 퀴리 부부는 방사능을 가진 새로운 원소들을 찾아내고 그 특성을 연구하였습니다.</p>
    <img src=""https://upload.wikimedia.org/wikipedia/commons/5/5e/Marie_and_Pierre_Curie.jpg"" alt=""마리와 피에르 퀴리의 연구 모습"" width=""300"">

    <h2>이들의 업적</h2>
    <p>앙리 베크렐은 자연 방사능을 발견하였고, 퀴리 부부는 이를 심화 연구하여 새로운 방사성 원소들을 발견하였습니다. 이들의 공로로 1903년 노벨 물리학상을 공동 수상하였습니다.</p>

    <h2>마무리</h2>
    <p>베크렐과 퀴리 부부의 연구는 현대 물리학과 의학에 큰 영향을 미쳤습니다. 그들의 노력과 열정은 과학 발전에 중요한 기여를 하였습니다.</p>
</body>
</html>"
물리학,1904,제3대 레일리 남작 존 윌리엄 스트럿,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
    <title>존 윌리엄 스트럿 레일리 경과 아르곤의 발견</title>
</head>
<body>
    <h1>1904년 노벨 물리학상을 수상한 존 윌리엄 스트럿 레일리 경</h1>
    <img src=""https://upload.wikimedia.org/wikipedia/commons/8/8e/John_William_Strutt.jpg"" alt=""존 윌리엄 스트럿 레일리 경의 사진"" width=""300"">

    <h2>레일리 경은 누구일까요?</h2>
    <p>존 윌리엄 스트럿 레일리 경은 1842년 영국에서 태어난 물리학자입니다. 그는 빛과 소리의 파동, 전자기학 등 다양한 분야에서 중요한 연구를 수행하였습니다.</p>

    <h2>아르곤은 어떻게 발견되었을까요?</h2>
    <p>레일리 경은 공기 중의 질소와 화학 반응으로 얻은 질소의 밀도가 다르다는 점을 발견하였습니다. 이를 조사하던 중, 공기 중에 새로운 기체인 아르곤이 존재함을 밝혀냈습니다.</p>
    <img src=""https://upload.wikimedia.org/wikipedia/commons/8/8b/Argon_discharge_tube.jpg"" alt=""아르곤 방전관의 모습"" width=""300"">

    <h2>레일리 경의 업적</h2>
    <p>레일리 경은 아르곤의 발견과 함께, 빛의 산란 현상을 설명하는 '레일리 산란'을 제시하였습니다. 이러한 공로로 1904년 노벨 물리학상을 수상하였습니다.</p>

    <h2>마무리</h2>
    <p>레일리 경의 연구는 현대 물리학과 화학의 발전에 큰 기여를 하였습니다. 그의 호기심과 노력은 과학의 새로운 지평을 여는 데 중요한 역할을 하였습니다.</p>
</body>
</html>"
물리학,1905,필리프 레나르트,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1906,조지프 존 톰슨,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1907,앨버트 에이브러햄 마이컬슨,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1908,가브리엘 리프만,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1909,굴리엘모 마르코니 / 카를 페르디난트 브라운,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1910,요하너스 디데릭 판데르 발스,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
